№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
441;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;2;;;
442;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;2;;;
443;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;2;;;
444;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;1;;;
445;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;1;;;
446;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;4;;;
447;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;2;;;
448;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;3;;;
449;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;1;;;
450;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;1;;;
451;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;2;;;
452;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;1;;;
453;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;1;;;
454;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;3;;;
455;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;1;;;
